user	instance_id	displayed_text	how-certain-is-the-finding:::Certain	how-certain-is-the-finding:::Somewhat uncertain	how-certain-is-the-finding:::Somewhat certain	how-certain-is-the-finding:::Uncertain	I carefully went over the examples and the instructions.:::Yes	How satisfied do you feel about your experience participating in our study?:::scale_4	How satisfied do you feel about your experience participating in our study?:::scale_3	How satisfied do you feel about your experience participating in our study?:::scale_2	How satisfied do you feel about your experience participating in our study?:::scale_5	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_1	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_5	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_4	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_3	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_2	How confident are you that you performed well in the task?:::scale_1	How confident are you that you performed well in the task?:::scale_5	How confident are you that you performed well in the task?:::scale_4	How confident are you that you performed well in the task?:::scale_3	How confident are you that you performed well in the task?:::scale_2	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes	Please feel free to leave any comments about our study (optional):::text_box	span_annotation:::Words indicating uncertainty	span_annotation:::Words indicating certainty
653fcb1b0f5d689c00a97629	Biology_248_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This model does not require inputs to be identical, as long as the number of simultaneous inputs is sufficiently large and give rise to different adaptive responses. Collectively, these findings highlight the reactive nature of the human immune system with implications, not only for our under-standing of newborn immune systems, but also for our understanding of human immune system variation in general and how this is shaped by environmental influences. We also propose that in-depth analyses during early life adaptation to environmental influences provides a unique opportunity for better understanding the molecular mechanisms of immune system adaptation to environmental influences in humans.""><b>Finding:</b></span> Collectively, these findings highlight the reactive nature of the human immune system with implications, not only for our under-standing of newborn immune systems, but also for our understanding of human immune system variation in general and how this is shaped by environmental influences."			3																					[]	[{'start': 911, 'end': 940, 'span': 'highlight the reactive nature', 'annotation': 'Words indicating certainty'}]
653fcb1b0f5d689c00a97629	Biology_181_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: However, we find that a slight amount of excess ink is present on the stamp surface. When this stamp is used to print, the excess ink spreads upon contact, resulting in greater width and corner roundness of the printed features compared to the stamp and an overall loss of pattern fidelity ( fig. When the CNT stamp is then used for printing, uniform ink transfer is achieved by relying on the formation of nanoscale contact points across the surface of each microscale stamp feature, therefore replicating the shapes of the stamp features with high accuracy.""><b>Finding:</b></span> When this stamp is used to print, the excess ink spreads upon contact, resulting in greater width and corner roundness of the printed features compared to the stamp and an overall loss of pattern fidelity ( fig."	4																							[]	[{'start': 813, 'end': 822, 'span': 'resulting', 'annotation': 'Words indicating certainty'}]
653fcb1b0f5d689c00a97629	test_question_testing_Somewhat uncertain	<b>Reported Finding:</b> New study suggests that sunscreen could prevent skin damage. This is a test question, please select Somewhat uncertain. Do not mark any words or phrases.		2																						[{'start': 63, 'end': 71, 'span': 'suggests', 'annotation': 'Words indicating uncertainty'}]	[]
653fcb1b0f5d689c00a97629	Certainty Examples.html	Certainty Examples					I carefully went over the examples and the instructions.:::Yes																			[]	[]
653fcb1b0f5d689c00a97629	Biology_485_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""This work was the realization of something that people had hoped to do for a very long time,"" said Shalek. In addition, this work demonstrates the power of single-cell RNA sequencing to reveal cellular diversity without using a genetic perturbation. The biological insights from this effort, enabled by the diverse expertise and resources of the Broad, represent a first step in fulfilling the promise of unbiased, single-cell approaches to uncover biology.""><b>Finding:</b></span> In addition, this work demonstrates the power of single-cell RNA sequencing to reveal cellular diversity without using a genetic perturbation."			3																					[]	[{'start': 746, 'end': 769, 'span': ' this work demonstrates', 'annotation': 'Words indicating certainty'}]
653fcb1b0f5d689c00a97629	Biology_248_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""We saw drastic changes in the babies' immune system between each sampling, which shows that it is highly dynamic early in life."" Only small amounts of blood, just a few drops from each baby, are needed to analyse all the white blood cells and hundreds of proteins circulating in the blood. The researchers were also able to show that the babies who had abnormal development of the gut flora during the first weeks also demonstrated a disorder of the immune system.""><b>Finding:</b></span> ""We saw drastic changes in the babies' immune system between each sampling, which shows that it is highly dynamic early in life."""			3																					[]	[{'start': 843, 'end': 860, 'span': 'which shows that ', 'annotation': 'Words indicating certainty'}]
653fcb1b0f5d689c00a97629	Biology_220_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: We replicated previous observations, such as a de novo deletion intersecting PTCHD1AS in a male (adding to the evidence that both PTCHD1 and PTCHD1AS contribute to ASD risk 14 ) and de novo events involving the miRNA miR137 (MIM 614304) in 1p.2-p.3 in two subjects. Examples of ASD candidate genes identified by small de novo CNVs include SETD5, DTNA (MIM 6012), and LSAMP (MIM 6032) (Supplemental Data section ''Highlighted Genes,'' Figures S9, S10, and S14). Among the affected subjects with pathogenic CNVs, 63% (38/60) carried de novo events ( Figure 1C ), including two subjects with two pathogenic events each.""><b>Finding:</b></span> Examples of ASD candidate genes identified by small de novo CNVs include SETD5, DTNA (MIM 6012), and LSAMP (MIM 6032) (Supplemental Data section ''Highlighted Genes,'' Figures S9, S10, and S14)."			3																					[]	[{'start': 799, 'end': 864, 'span': 'Examples of ASD candidate genes identified by small de novo CNVs ', 'annotation': 'Words indicating certainty'}]
653fcb1b0f5d689c00a97629	Biology_117_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The survey of U.S. indoor climate preferences in 37 states shows that, on average, Americans keep their home climate similar to the outdoor climate of northeast Africa, with outdoor conditions in west central Kenya the most similar to conditions in American homes. There was some variation in American responses. For example, citizens in North Carolina reported indoor conditions most like those in Namibia, which is in southern Africa and south of the equator.""><b>Finding:</b></span> The survey of U.S. indoor climate preferences in 37 states shows that, on average, Americans keep their home climate similar to the outdoor climate of northeast Africa, with outdoor conditions in west central Kenya the most similar to conditions in American homes."	4																							[]	[{'start': 643, 'end': 708, 'span': 'The survey of U.S. indoor climate preferences in 37 states shows ', 'annotation': 'Words indicating certainty'}]
653fcb1b0f5d689c00a97629	Biology_35_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: These observations are also in accordance with another study on ultrastructural changes of MSCs during neuronal induction . This study demonstrated that a viable stem cell population can be isolated and expanded from equine cadaver ligaments up to 72 hours post-mortem. Differentiation assays, flow cytometry, immunofluorescence and TEM analyses confirmed the stemness of these cells.""><b>Finding:</b></span> This study demonstrated that a viable stem cell population can be isolated and expanded from equine cadaver ligaments up to 72 hours post-mortem."	4																							[]	[{'start': 567, 'end': 591, 'span': 'This study demonstrated ', 'annotation': 'Words indicating certainty'}]
653fcb1b0f5d689c00a97629	Experience.html	Experience									5					2	1									[]	[]
